
[2020-02-22 18:53:59,264][discord.gateway]:Shard ID None has connected to Gateway: ["gateway-prd-main-g8mj",{"micros":68971,"calls":["discord-sessions-prd-1-23",{"micros":57012,"calls":["start_session",{"micros":47158,"calls":["api-prd-main-7wb8",{"micros":44354,"calls":["get_user",{"micros":3049},"add_authorized_ip",{"micros":3812},"get_guilds",{"micros":2562},"coros_wait",{"micros":1}]}]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":1,"calls":[]}]}]}] (Session ID: 9d60fd5d468e2f5219f8f61580deb0c2).

[2020-02-22 18:54:01,268][exts.essentials]:Logged in as Test Bot#6948

[2020-02-22 18:55:19,302][config]:Server Playground configured its manager roles

[2020-02-22 18:55:27,211][config]:Server Playground configured its admin roles

[2020-02-22 18:56:05,781][exts.essentials]:Switching to invisible mode

[2020-02-22 18:56:06,107][exts.essentials]:Closing connection to discord

[2020-02-22 18:56:06,321][discord.gateway]:Websocket closed with 1000 (), cannot reconnect.

[2020-02-22 18:56:06,322][discord.client]:Cleaning up tasks.

[2020-02-22 18:56:06,322][discord.client]:Cleaning up after 2 tasks.

[2020-02-22 18:56:06,323][discord.client]:All tasks finished cancelling.

[2020-02-22 18:56:06,323][discord.client]:Closing the event loop.

[2020-02-22 18:58:39,028][utilities]:Innitalized utilities logger

[2020-02-22 18:58:39,049][help]:Innitalized help logger

[2020-02-22 18:58:39,050][config]:Innitalized config logger

[2020-02-22 18:58:39,051][__main__]:Initalized __main__ logger

[2020-02-22 18:58:39,051][discord]:Initalized discord's logger

[2020-02-22 18:58:39,069][exts.slapping]:Innitalized exts.slapping logger

[2020-02-22 18:58:39,075][exts.essentials]:Innitalized exts.essentials logger

[2020-02-22 18:58:39,118][exts.development]:Innitalized exts.development logger

[2020-02-22 18:58:39,157][exts.embedding]:Innitalized exts.embedding logger

[2020-02-22 18:58:39,162][exts.role]:Innitalized exts.role logger

[2020-02-22 18:58:39,168][exts.poll]:Innitalized exts.poll logger

[2020-02-22 18:58:39,210][exts.time]:Innitalized exts.time logger

[2020-02-22 18:58:39,219][discord.client]:logging in using static token

[2020-02-22 18:58:40,432][discord.gateway]:Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream

[2020-02-22 18:58:40,435][discord.gateway]:Shard ID None has sent the IDENTIFY payload.

